name,album,artist,mood
Count That - R3HAB Edit,Count That (R3HAB Edit),Steff da Campo,Surprise
Courage,Courage,Ian Wong,Calm
Crash,Crash,Chris Malinchak,Happy
Crawling In The Dark,Hoobastank,Hoobastank,Surprise
Crazy,St. Elsewhere,Gnarls Barkley,Happy
Crazy Horses,Crazy Horses,The Osmonds,Happy
Creep,The Best Of,Radiohead,Sad
Crossing,Crossing,The Tides,Calm
Crystal Baller - 2006 Remaster,A Collection,Third Eye Blind,Surprise
Crystal Shores,Crystal Shores,Dean Valio,Calm
Curiosity,Curiosity,Beau Projet,Calm
Curious Morning,Curious Morning,Michael Orvind,Calm
Cursive,As Long As - EP,Billie Marten,Sad
Daar Gaat Ze,Clouseau30,Clouseau,Happy
Dance Little Sister,Introducing The Hardline According To Terence Trent D'Arby,Terence Trent D'Arby,Happy
Dancing On My Own,Dancing On My Own,Calum Scott,Sad
Dancing Through Sunday,Sing The Sorrow,AFI,Surprise
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Sloan,Sad
Dancing With an Astronaut,Dancing With an Astronaut,Ellie Rose,Sad
Dani California,Stadium Arcadium,Red Hot Chili Peppers,Surprise
Dark Side of the Gym,Sleep Well Beast,The National,Sad
Darkest Hour,Darkest Hour,Low Roar,Sad
Dawning,Dawning,Light of Sun,Calm
Day 5: For Carol,5 Day Mischon,Tom Misch,Calm
De Fléche,De Fléche,Les Manger Tous,Calm
Dear Diary,Dear Diary,Anthony Ramos,Sad
Deep Dark Jungle,Deep Dark Jungle,Nicky Romero,Happy
Den inre skogen,Den inre skogen,Thomas Jackson,Calm
Desire Lines,Split,Lush,Sad
Devotion And Desire,Bayside,Bayside,Surprise
Dew Drops,Vortex,Pieter de Graaf,Calm
Dive,The Soft Cavalry,The Soft Cavalry,Sad
Do Bad Well (feat. Nevve),Do Bad Well (feat. Nevve),KSHMR,Surprise
Do It Again,Do It Again,Steve Aoki,Surprise
Dolerme,Dolerme,ROSALÍA,Sad
Don't Stop,Rumours,Fleetwood Mac,Happy
Don't Stop Me Now - 2011 Mix,Jazz (Deluxe Remastered Version),Queen,Happy
Don't You (Forget About Me) - Remastered,Celebrate (Greatest Hits),Simple Minds,Happy
Don?t Delete The Kisses,Visions Of A Life,Wolf Alice,Sad
Down On The Corner,Willy And The Poor Boys (40th Anniversary Edition),Creedence Clearwater Revival,Happy
Dragula,Hellbilly Deluxe,Rob Zombie,Surprise
Dreams Tonite,Antisocialites,Alvvays,Sad
Drifting,Drifting,Eroded Sky,Calm
Driver's Seat,Fickle Heart (Plus Two Bonus Cuts),Sniff 'n' The Tears,Happy
Duality,Vol. 3: The Subliminal Verses,Slipknot,Surprise
Duck And Run,The Better Life,3 Doors Down,Surprise
Dust On The Ground,Flaws,Bombay Bicycle Club,Sad
EDM Sux,EDM Sux,FTampa,Surprise
Eagle,Eagle,Ansatz Der Maschine,Calm
Easily,A Song For Every Moon,Bruno Major,Sad
Easy Lover,Chinese Wall,Philip Bailey,Happy
Eden - Hunted Version,Hunted,Anna Calvi,Sad
Edge of Seventeen,Crystal Visions...The Very Best of Stevie Nicks,Stevie Nicks,Happy
Eidolon,Eidolon,Monocle Twins,Calm
Electronic Memories (feat. Mickey Kojak),Find Paradise,k?d,Surprise
Emotions in Motion,Emotions in Motion,Jaakko Eino Kalevi,Sad
Empty Street at Night,Empty Street at Night,Golden Sleep,Calm
Enemy,Seasons - Clean,Sevendust,Surprise
Escaping Time,Floating,Benjamin Martins,Calm
Essential Attitudes,Honey,Peals,Calm
Event Horizon,Event Horizon,Airwaves,Calm
Every Kinda People,Double Fun,Robert Palmer,Happy
Every Way,Every Way,Antonio Giacca,Surprise
Everybody Hurts,Part Lies Part Heart Part Truth Part Garbage 1982-2011,R.E.M.,Sad
Everyday People,R&B: From Doo-Wop To Hip-Hop,Various Artists,Happy
Expedition,Expedition,Skytech,Happy
Faces,Scary Kids Scaring Kids,Scary Kids Scaring Kids,Surprise
Falling,Fine Line,Harry Styles,Sad
Falling Ashes,Slowdive,Slowdive,Sad
Falling Asleep,Falling Asleep,Tiz McNamara,Sad
Falling Away from Me,Issues,Korn,Surprise
Fantasy - R3HAB Remix,Fantasy (R3HAB Remix),Sofie Tukker,Surprise
Fascination,This Is Alphabeat,Alphabeat,Happy
Feeling This,blink-182,blink-182,Surprise
Feels Like Flying,Feels Like Flying,Elementaries,Calm
Feels Like We're Dying,Far Away,Johnny Goth,Sad
Fields After Rain,Fields After Rain,Martèn LeGrand,Calm
Fields Of Blossom,Fields Of Blossom,Martèn LeGrand,Calm
Fire in Cairo,A Sentimental Education,Luna,Sad
Fix You,Fix You,Valentin,Sad
Fleur février,Fleur février,Jacco Wynia,Calm
Flex,Flex,Fedde Le Grand,Surprise
Floating Sunbeams,Floating Sunbeams,Michael Orvind,Calm
Flowing,Flowing,Lucas Delphy,Calm
Fly - King Britt's Fhloston Paradigm Remix,Fly (King Britt's Fhloston Paradigm Remix),Low,Sad
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,Group Therapy 300 Live from Hong Kong (ABGT300),Above & Beyond,Surprise
Focus,Focus,Light of Sun,Calm
Follow me,Follow me,Andre Ehmann,Calm
Found,Found,Martin Gauffin,Calm
Free,TOGETHER,Third Party,Happy
Freya,Cantec De Leagane / Freya,Dave Pad,Happy
Friday I'm In Love,Wish,The Cure,Happy
From Yesterday,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,Surprise
Frozen,Frozen,Ron Adelaar,Calm
Fête sous les étoiles,Suite,Biba Dupont,Calm
Game Time (feat. Ninja),Game Time (feat. Ninja),3LAU,Happy
Gasoline,Disclaimer II,Seether,Surprise
Geno - 2000 Remaster,Searching For The Young Soul Rebels,Dexys Midnight Runners,Happy
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,Happy
Get Up Offa That Thing,20 All-Time Greatest Hits!,James Brown,Happy
Getting Away With Murder,Getting Away With Murder (Explicit Version),Papa Roach,Surprise
Ghostride,Ghostride,Crumb,Sad
Glaciers,Bloom,Lights & Motion,Calm
Go With The Flow,Songs For The Deaf,Queens of the Stone Age,Surprise
Gone My Way - KhoMha Remix,Gone My Way (KhoMha Remix),Morgan Page,Surprise
Good Times,Risqué,CHIC,Happy
Good Vibrations - Remastered,Good Vibrations 40th Anniversary,The Beach Boys,Happy
Goodbye,The Devil's Walk,Apparat,Sad
Goshen,East Harlem,Beirut,Sad
"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",Bach,Johann Sebastian Bach,Calm
Goya,Goya,Minxz,Calm
Gracewood (Revisited),In Between (A-Side),Steven Vrancken,Calm
Green Street,Green Street,Alexander Motovilov,Calm
Groove Is in the Heart,Rhino Hi-Five: Deee-Lite,Deee-Lite,Happy
Groovin,Groovin,Sir Roy,Surprise
Guernica,Deja Entendu,Brand New,Surprise
Halfway There (feat. Lena Leon),Halfway There (feat. Lena Leon),Tiësto,Surprise
Handful Of Redemption,Tomorrow Come Today,Boysetsfire,Surprise
Happy Ending,Body And Soul,Joe Jackson,Happy
Happy Together,Happy Together,The Turtles,Happy
Harvest Love,Harvest Love,Tash Sultana,Sad
Hash Pipe,Weezer (Green Album),Weezer,Surprise
Heaven - David Guetta & MORTEN Remix,Heaven (David Guetta & MORTEN Remix),Avicii,Happy
Heavenly,Heavenly,Cigarettes After Sex,Sad
Heavy,Home,Collective Soul,Surprise
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,Happy
Highway to Hell,Highway to Hell,AC/DC,Happy
Holding On,Scary Kids Scaring Kids,Scary Kids Scaring Kids,Surprise
Hollowman,Trapt,Trapt,Surprise
Holy Water,Holy Water,Galantis,Surprise
Home,Home,Lucas & Steve,Surprise
"Honey, This Mirror Isn't Big Enough for the Two of Us","I Brought You My Bullets, You Brought Me Your Love",My Chemical Romance,Surprise
Hoovela,Hoovela,Steve Aoki,Happy
How Bizarre,How Bizarre,OMC,Happy
How To Fight,How To Fight,Eartheater,Sad
Human Connection,Human Connection,Cult Solo,Happy
Humans (Let Me Love You),Humans (Let Me Love You),Sick Individuals,Happy
Hunter,Hunter,Anna Calvi,Sad
Hypnagogia Well,Hypnagogia Well,Monocle Twins,Calm
I Can't Help (with Sarcastic Sounds),I Can't Help (with Sarcastic Sounds),Shoffy,Sad
I Don't Know (feat. Samuel T. Herring),I Don't Know (feat. Samuel T. Herring),BADBADNOTGOOD,Sad
I Don't Trust That Bird of Prey,Requiescence,Random Forest,Calm
I Stand Alone,"Good Times, Bad Times - Ten Years of Godsmack",Godsmack,Surprise
I Took A Pill In Ibiza,"At Night, Alone.",Mike Posner,Sad
I Was Made For Lovin' You,Dynasty (Remastered Version),KISS,Happy
I Would Die 4 U,Purple Rain,Prince,Happy
I dine øjne,I dine øjne,Efterklang,Sad
I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,My Chemical Romance,Surprise
I'm Your Man,And Nothing Hurt,Spiritualized,Sad
I've Been Fine,LoveLaws,TT,Sad
ID8,ID8,Dimitri Vangelis & Wyman,Happy
If You Believe,Unification,Yonder Dale,Calm
If You Think It's Love,Cheap Queen,King Princess,Sad
Images,Images,DeLange,Calm
In This Moment,In This Moment,Lucas Delphy,Calm
Indigo,Indigo,LEFT.,Sad
Infinite Sustain,Infinite Sustain,Amaranth Cove,Calm
Ingénue,Ingénue,Eline Moss,Calm
Inside Of You,Every Man For Himself (Red Package),Hoobastank,Surprise
Inside the Fire,Disturbed,Disturbed,Surprise
Inside*,Inside*,Ton Snijders,Calm
Intermezzo No. 1 in E Minor,Intermezzo No. 1 in E Minor,Manuel Ponce,Calm
Into Black,Blouse,Blouse,Sad
Isonoe,GLIESE,Job Roggeveen,Calm
It Takes Me Back,Hopeless Romantics,Emmrose,Sad
It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),Built From Scratch,X-Ecutioners,Surprise
It's My Fault,It's My Fault,Lolo Zouaï,Sad
Jealous,Jealous,Labrinth,Sad
"John Wayne Gacy, Jr.",Illinois,Sufjan Stevens,Sad
Juliens Journey,Juliens Journey,Reinhard Vanbergen,Calm
Jupiter 4,Jupiter 4,Sharon Van Etten,Sad
Just Can't Get Enough - Live in Hammersmith,Love In Itself.2 and Live Tracks,Depeche Mode,Happy
Just Look at You,432 Water Crystals,369,Calm
Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",Happy
K.,K.,Rosie Carney,Sad
Kangaroo (Remastered),It'll End In Tears (Remastered),This Mortal Coil,Sad
Kaolnite,Kaolnite,Burgundy Skies,Calm
Keep Going,Keep Going,Mark Milan,Calm
Kids In The Dark,Kids In The Dark,Bat For Lashes,Sad
Killing In The Name,Rage Against The Machine - XX (20th Anniversary Special Edition),Rage Against The Machine,Surprise
Kinky Living,Clockdust,Rustin Man,Sad
Kinky Love,Flesh Balloon,Pale Saints,Sad
Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,Happy
Kiss On My List - Remastered,Hall & Oates,Daryl Hall & John Oates,Happy
Kiss You All Over - Single Edit,Kiss You All Over,Isaac Elton,Surprise
Kite,Kite,YuMe,Calm
Klangfall - Piano Version,Klangfall (Piano Version),Joep Beving,Calm
La Luz,Chapter I,City of the Sun,Calm
Last Time,Last Time,Johnning,Sad
Late in the Evening,One-Trick Pony,Paul Simon,Happy
Laugavegur,Laugavegur,Dreyma,Calm
Lay Your Head On Me (feat. Marcus Mumford),Lay Your Head On Me (feat. Marcus Mumford),Major Lazer,Happy
Let It Go,Chaos And The Calm,James Bay,Sad
Let It Out,Xy Chelsea (Original Soundtrack),Jehnny Beth,Sad
Let's Go Crazy,Purple Rain,Prince,Happy
Lift Me Up (feat. Carla Monroe),Lift Me Up (feat. Carla Monroe),Oliver Heldens,Surprise
Light Year,Light Year,Evan Michael Brown,Calm
Light Years,Light Years,The National,Sad
Lights Go Down,Lights Go Down,Mike Candys,Surprise
Like The First Time - House Mix,Like The First Time,Isaac Elton,Surprise
Like The Way I Do,Greatest Hits - The Road Less Traveled,Melissa Etheridge,Happy
Like We Do,Like We Do,Fedde Le Grand,Surprise
Limitless,Limitless,Lucas Delphy,Calm
Linger,Linger,No Vacation,Sad
Listen to the Music,Toulouse Street,The Doobie Brothers,Happy
Listening,In Love and Death,The Used,Surprise
Litost,Litost,Minxz,Calm
Little Lion Man,Sigh No More (Benelux Edition),Mumford & Sons,Happy
Little Talks,My Head Is An Animal,Of Monsters and Men,Happy
Little Things,Sixteen Stone,Bush,Surprise
Living,Reflection of Youth,EERA,Sad
"Lola - Live at Providence Civic Center, Providence, RI - September 1979",One for the Road (Live),The Kinks,Happy
London Thunder,London Thunder,Foals,Sad
Lonely Boy,What's Wrong with This Picture?,Andrew Gold,Happy
Long Way Down,Long Way Down (Deluxe),Tom Odell,Sad
Lorelei,Treasure,Cocteau Twins,Sad
Los Feliz,Los Feliz,Search For Atlantis,Calm
Losing You,Human,Aquilo,Sad
Lost,Lost,Annelie,Calm
Lost Moon,I Can Feel the Night Around Me,Nightlands,Sad
Love Is A Losing Game,Back To Black,Amy Winehouse,Sad
Lovely Day,Lean on Me: The Best of Bill Withers,Bill Withers,Happy
Lunar Eclipse,Lunar Eclipse,Marc Torch,Calm
"Ma mère l'oye, M.60 - For Piano Duet, M.60: 1. Pavane de la Belle au bois dormant",Jeux,Arthur Jussen,Calm
Machinehead,Bush Digital Collection,Bush,Surprise
Mad About You,The Magnificent Tree,Hooverphonic,Happy
Make Believe,Make Believe,Quintino,Surprise
Malibu,Malibu,Matthew Harvey,Calm
Marbles,The First Tindersticks Album,Tindersticks,Sad
Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,Happy
Melancholé,Melancholé,Biba Dupont,Calm
Mercy - Live,Retrospective,Hilary Hahn,Calm
Message In A Bottle - Remastered 2003,Reggatta De Blanc (Remastered),The Police,Happy
Midnight Sun,Midnight Sun,Nicky Romero,Surprise
Mil Sonidos,Mil Sonidos,Reina del Mar,Calm
Mind-wanders,Journey to the unknown,Patrick Hamilton,Calm
Mindfulness,Mindfulness,Amoll,Calm
Minus,Minus,Daniel Blumberg,Sad
Miss You - Remastered,Some Girls (Deluxe Version),The Rolling Stones,Happy
Misty Mornings,Misty Mornings,Wilson Trouvé,Calm
Momentum,Momentum,Monocle Twins,Calm
Montana,Montana,Le Verne,Calm
Monumental,Monumental,Antuigo,Calm
Morning Shimmer,Morning Shimmer,Vochey,Calm
Moulain (Revisited 432hz),Moulain (Revisited 432hz),Steven Vrancken,Calm
Movies,Movies,Weyes Blood,Sad
Mr. Blue Sky,Out of the Blue,Electric Light Orchestra,Happy
Mr. Jones,August And Everything After,Counting Crows,Happy
Mudshovel,Dysfunction,Staind,Surprise
"Murder Song (5, 4, 3, 2, 1) - Acoustic",All My Demons Greeting Me As A Friend (Deluxe),AURORA,Sad
My Favourite Game,Best Of,The Cardigans,Surprise
My Hero,Greatest Hits,Foo Fighters,Surprise
My Own Worst Enemy,A Place In The Sun,Lit,Surprise
My Sharona,Get The Knack,The Knack,Happy
My Way - Marcus Santoro Remix,My Way (ft. Alice Berg) [Marcus Santoro Remix],Nicky Romero,Surprise
Mykki,LoveLaws,TT,Sad
Nazareth,Nazareth,Matteo Myderwyk,Calm
Need You - Ed. & Gustav Munk Remix,Need You (Remixes),Faustix,Happy
Never Be Lonely (feat. Envy Monroe),Never Be Lonely (feat. Envy Monroe),Blasterjaxx,Surprise
Never Letting Go,Never Letting Go,Audien,Happy
Never My Love,Voices In The Sky,Isobel Campbell,Sad
Night,Night,Wilson Trouvé,Calm
Night Moves,Night Moves,Bob Seger,Happy
Night Surrender,Night Surrender,DeLange,Calm
Night on Earth,Night on Earth,Jerkcurb,Sad
No More 54,No More 54,Dada Life,Surprise
No One Knows,Songs For The Deaf,Queens of the Stone Age,Surprise
No Time To Die,No Time To Die,Billie Eilish,Sad
No Woman,Light Upon the Lake,Whitney,Sad
Nobody,Nobody,Mac DeMarco,Sad
North,Solo (1*),Ton Snijders,Calm
North Captiva,North Captiva,Lundegard,Calm
Not Alone,Not Alone,Otto Knows,Happy
Nowhere Kids,Shapeshifter,Smile Empty Soul,Surprise
Oceans,Oceans - EP,Seafret,Sad
October Rain,Recollections Vol. 4,Various Artists,Calm
Old Rain on a New Day,Celestial Siren,Cora Zea,Calm
Older Than I Am,Three. Two. One.,Lennon Stella,Sad
On Another Ocean (January / June),On Another Ocean (January / June) [Edit],Fleet Foxes,Sad
On My Way (feat. Jordan Kaahn),On My Way (feat. Jordan Kaahn),Robbie Rivera,Happy
One More Night,One More Night,Labi Ramaj,Surprise
One Night - D.O.D Remix,One Night (D.O.D Remix),Cedric Gervais,Surprise
One Step Closer,Hybrid Theory,Linkin Park,Surprise
Only,Only,RY X,Sad
Only You,We Were Here,Joshua Radin,Sad
Open Fields,Open Fields,Faelt,Calm
Open Skies,Open Skies,Lost Horse Mine,Calm
Orbits,Orbits,Halfway Escape,Calm
Our Lady of Sorrows,"I Brought You My Bullets, You Brought Me Your Love",My Chemical Romance,Surprise
Out Of Control,The Reason,Hoobastank,Surprise
Out Of Control - Pat Vocal Mix,Out Of Control EP,Lupe Fuentes,Surprise
Out of Control,Blind Spot,Lush,Sad
Out of the Deep,Out Of The Deep,Olivia Belli,Calm
Outside,Outside,MorMor,Sad
Over My Head (Better Off Dead),Does This Look Infected?,Sum 41,Surprise
Pain,A Deeper Understanding,The War On Drugs,Sad
Panoramic Feelings (Piano Version),Panoramic Feelings (Piano Version),LudoWic,Calm
Papercut,Hybrid Theory (Bonus Edition),Linkin Park,Surprise
Paperthin Hymn,Never Take Friendship Personal,Anberlin,Surprise
Parabel,Parabel,Matteo Myderwyk,Calm
Paradise,Mylo Xyloto,Coldplay,Happy
Paralyzer,Them vs. You vs. Me,Finger Eleven,Surprise
Pass The Hours,Pass The Hours,MorMor,Sad
Path to Serenity,Path to Serenity,Arya Shae,Calm
People Are Strange - Festival Mix,People Are Strange (Incl. Festival Mix),KAAZE,Surprise
People Help the People,Birdy (Deluxe Version),Birdy,Sad
Petrichor,Petrichor,Cecelya,Calm
"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",Beethoven Piano Sonatas,Ludwig van Beethoven,Calm
Pierre,Virgule,Hicham Chahidi,Calm
Pink Rupture,Pink Rupture,Kornum & Karma,Happy
Placidity,Placidity,Estado De Calma,Calm
Planet,PLANET,Sofiane Pamart,Calm
Play The Ghost,Play The Ghost,Sarah Davachi,Sad
Poem,Welcome,Taproot,Surprise
Points of Authority,Hybrid Theory,Linkin Park,Surprise
Polyamorous,Breaking Benjamin: Digital Box Set,Breaking Benjamin,Surprise
Pour Les Oiseaux,Des Plumes Dans La Tête,Sylvain Chauveau,Calm
Prayer Of The Refugee,Endgame / Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness,Rise Against,Surprise
Prelude,Prelude,Marynka,Calm
Prelude 6 - Pt. 1,Voices,Max Richter,Calm
Prelude in F,Prelude in F,Alexander Motovilov,Calm
Presence,Presence,Van Stiles,Calm
Pressure,Pressure,Seth Hills,Surprise
Promise,Horrorscope,Eve 6,Surprise
Pumped Up Kicks,Torches,Foster The People,Happy
Quick Canal (W/ Laetita Sadier),Logos,Atlas Sound,Sad
Quiet Room,Music For Mindfulness,Various Artists,Calm
"Quiet, The Winter Harbor",Still EP,Mazzy Star,Sad
Raven's Feather - Piano Solo,Raven's Feather (Piano Solo),Nina June,Calm
Rayons de soleil,Rayons de soleil,Marlies du Mosch,Calm
Reality,Reality EP,Chocolate Puma,Happy
Rebuscano,Rebuscano,Olivia Belli,Calm
Recording 15,Living Water,Shannon Lay,Sad
Reinventing Your Exit,They're Only Chasing Safety,Underoath,Surprise
Remains,Remains,Dries Beheydt,Calm
Renee's Song,Renee's Song,Bazzi,Sad
Renegades Of Funk,Renegades,Rage Against The Machine,Surprise
Rescue Me,Rescue Me,DubVision,Surprise
Retrospectacular,Retrospectacular,Domaine Blanc,Calm
Revitalize,Unification,Yonder Dale,Calm
Ring The Alarm - Stadiumx Remix,Ring The Alarm (Remixes),Nicky Romero,Surprise
Rise (ft. Matluck) - Thomas Gold Remix,Rise (ft. Matluck) [Thomas Gold Remix],Nicky Romero,Surprise
River,Bones,St Woods,Sad
Riverside,Philharmonics,Agnes Obel,Sad
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,Happy
Romance,Ex:Re,Ex:Re,Sad
Roses,Speakerboxxx/The Love Below,OutKast,Happy
Rusted From the Rain,Billy Talent III,Billy Talent,Surprise
Rylan,I Am Easy to Find,The National,Sad
Sad Corny Fuck,Hold It Together,JP Saxe,Sad
Sadness,Red Moon,Marynka,Calm
Sahara Love - Seven Lions Remix,Sahara Love,Above & Beyond,Surprise
Same Direction,The Reason,Hoobastank,Surprise
Samson,Begin to Hope (Special Edition),Regina Spektor,Sad
Saving Daylight,Saving Daylight,Harvest Silence,Calm
Savior,Appeal To Reason,Rise Against,Surprise
Say Days Ago,The Used,The Used,Surprise
Schloss,Schloss,Elmau Dunkel,Calm
Secrets,Secrets,Erik Frank,Surprise
Send It,Send It,Steve Aoki,Happy
